,Parent,Child,ParentGeneName,ChildGeneName
16596,ENSG00000259326,ENSG00000267470,RP11-102L12.2,CTD-3064H18.6
16597,ENSG00000081026,ENSG00000175556,MAGI3,LONRF3
16598,ENSG00000259165,ENSG00000182957,DDX18P1,SPATA13
16599,ENSG00000259652,ENSG00000260787,RP11-797A18.3,RP11-797A18.4
16600,ENSG00000211553,ENSG00000250312,AC118278.1,ZNF718
16601,ENSG00000171962,ENSG00000260698,LRRC48,RP11-439E19.9
16602,ENSG00000197146,ENSG00000026297,AL133458.1,RNASET2
16603,ENSG00000197146,ENSG00000226104,AL133458.1,AC011475.1
16604,ENSG00000134882,ENSG00000246308,UBAC2,RP11-685M7.3
16605,ENSG00000211699,ENSG00000211697,TRGV3,TRGV5
16606,ENSG00000135976,ENSG00000080822,ANKRD36,CLDND1
16607,ENSG00000135976,ENSG00000100592,ANKRD36,DAAM1
16608,ENSG00000135976,ENSG00000075539,ANKRD36,FRYL
16609,ENSG00000146197,ENSG00000236370,SCUBE3,RP11-574K11.16
16610,ENSG00000146197,ENSG00000242028,SCUBE3,HYPK
16611,ENSG00000250031,ENSG00000166902,RP11-114M5.1,MRPL16
16612,ENSG00000250031,ENSG00000263244,RP11-114M5.1,RP11-473I1.10
16613,ENSG00000250031,ENSG00000116698,RP11-114M5.1,SMG7
16614,ENSG00000267046,ENSG00000231074,RP11-1094M14.9,HCG18
16615,ENSG00000267046,ENSG00000267074,RP11-1094M14.9,RP11-1094M14.5
16616,ENSG00000234329,ENSG00000255103,RP11-767N6.2,KIAA0754
16617,ENSG00000111087,ENSG00000123329,GLI1,ARHGAP9
16618,ENSG00000111087,ENSG00000132694,GLI1,ARHGEF11
16619,ENSG00000111087,ENSG00000139890,GLI1,REM2
16620,ENSG00000111087,ENSG00000179840,GLI1,C1orf200
16621,ENSG00000111087,ENSG00000102886,GLI1,GDPD3
16622,ENSG00000111087,ENSG00000197146,GLI1,AL133458.1
16623,ENSG00000111087,ENSG00000196684,GLI1,HSH2D
16624,ENSG00000170092,ENSG00000136206,AC018720.10,SPDYE1
16625,ENSG00000239653,ENSG00000251002,PSMD6-AS2,AE000661.37
16626,ENSG00000239653,ENSG00000167528,PSMD6-AS2,ZNF641
16627,ENSG00000243544,ENSG00000189129,Metazoa_SRP,PLAC9
16628,ENSG00000226803,ENSG00000223773,RP11-203B9.4,CD99P1
16629,ENSG00000251143,ENSG00000242861,RP11-849H4.4,RP11-285F7.2
16630,ENSG00000096654,ENSG00000173875,ZNF184,ZNF791
16631,ENSG00000096654,ENSG00000136100,ZNF184,VPS36
16632,ENSG00000166851,ENSG00000163814,PLK1,CDCP1
16633,ENSG00000105227,ENSG00000121753,PRX,BAI2
16634,ENSG00000171101,ENSG00000162490,SIGLEC17P,DRAXIN
16635,ENSG00000178105,ENSG00000129680,DDX10,MAP7D3
16636,ENSG00000178105,ENSG00000144736,DDX10,SHQ1
16637,ENSG00000189067,ENSG00000112096,LITAF,SOD2
16638,ENSG00000189067,ENSG00000183283,LITAF,DAZAP2
16639,ENSG00000189067,ENSG00000185201,LITAF,IFITM2
16640,ENSG00000189067,ENSG00000137210,LITAF,TMEM14B
16641,ENSG00000189067,ENSG00000176788,LITAF,BASP1
16642,ENSG00000189067,ENSG00000256581,LITAF,NLRP9P
16643,ENSG00000189067,ENSG00000189159,LITAF,HN1
16644,ENSG00000189067,ENSG00000137312,LITAF,FLOT1
16645,ENSG00000162654,ENSG00000013374,GBP4,NUB1
16646,ENSG00000162654,ENSG00000204267,GBP4,TAP2
16647,ENSG00000070010,ENSG00000171747,UFD1L,LGALS4
16648,ENSG00000006125,ENSG00000266405,AP2B1,CBX3P2
16649,ENSG00000006125,ENSG00000185442,AP2B1,FAM174B
16650,ENSG00000174171,ENSG00000137877,RP11-23P13.6,SPTBN5
16651,ENSG00000181036,ENSG00000182534,FCRL6,MXRA7
16652,ENSG00000181036,ENSG00000161570,FCRL6,CCL5
16653,ENSG00000181036,ENSG00000100450,FCRL6,GZMH
16654,ENSG00000181036,ENSG00000109956,FCRL6,B3GAT1
16655,ENSG00000181036,ENSG00000157985,FCRL6,AGAP1
16656,ENSG00000110076,ENSG00000106976,NRXN2,DNM1
16657,ENSG00000110076,ENSG00000196218,NRXN2,RYR1
16658,ENSG00000110076,ENSG00000166819,NRXN2,PLIN1
16659,ENSG00000131368,ENSG00000135821,MRPS25,GLUL
16660,ENSG00000131368,ENSG00000214435,MRPS25,AS3MT
16661,ENSG00000131368,ENSG00000235919,MRPS25,ASH1L-AS1
16662,ENSG00000131368,ENSG00000095485,MRPS25,CWF19L1
16663,ENSG00000131368,ENSG00000257950,MRPS25,RP11-48B14.2
16664,ENSG00000131368,ENSG00000183605,MRPS25,SFXN4
16665,ENSG00000131368,ENSG00000204954,MRPS25,C12orf73
16666,ENSG00000212127,ENSG00000247157,TAS2R14,RP11-434C1.1
16667,ENSG00000111335,ENSG00000160932,OAS2,LY6E
16668,ENSG00000111335,ENSG00000165185,OAS2,KIAA1958
16669,ENSG00000111335,ENSG00000132256,OAS2,TRIM5
16670,ENSG00000111335,ENSG00000196141,OAS2,SPATS2L
16671,ENSG00000111335,ENSG00000108771,OAS2,DHX58
16672,ENSG00000111335,ENSG00000059378,OAS2,PARP12
16673,ENSG00000111335,ENSG00000138642,OAS2,HERC6
16674,ENSG00000104142,ENSG00000168887,VPS18,C2orf68
16675,ENSG00000104142,ENSG00000179562,VPS18,GCC1
16676,ENSG00000104142,ENSG00000198830,VPS18,HMGN2
16677,ENSG00000104142,ENSG00000185669,VPS18,SNAI3
16678,ENSG00000104142,ENSG00000116863,VPS18,ADPRHL2
16679,ENSG00000172819,ENSG00000232022,RARG,RP5-1109J22.1
16680,ENSG00000137513,ENSG00000205981,NARS2,DNAJC19
16681,ENSG00000211689,ENSG00000211695,TRGC1,TRGV9
16682,ENSG00000211689,ENSG00000172215,TRGC1,CXCR6
16683,ENSG00000204160,ENSG00000114268,ZDHHC18,PFKFB4
16684,ENSG00000204160,ENSG00000011198,ZDHHC18,ABHD5
16685,ENSG00000204160,ENSG00000125735,ZDHHC18,TNFSF14
